Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Read Count,Series
62232755,Throne in the Dark ,A.K. Caggiano,"Caggiano, A.K.",,,,0,4.27,,Kindle Edition,459,2022.0,2022.0,,1/15/2023,to-read,to-read (#179),to-read,,0,"Villains & Virtues, #1"
58310153,The High Mountain Court ,A.K. Mulford,"Mulford, A.K.",,,,0,3.74,AK Mulford,Kindle Edition,354,2021.0,2021.0,,11/7/2022,to-read,to-read (#141),to-read,,0,"The Five Crowns of Okrith, #1"
43263361,Crown of Bones ,A.K. Wilder,"Wilder, A.K.",,1640634142,9781640634145.0,0,3.94,Entangled: Teen,Hardcover,400,2021.0,2021.0,,11/6/2022,to-read,to-read (#121),to-read,,0,"Amassia, #1"
38325332,All the Stars and Teeth ,Adalyn  Grace,"Grace, Adalyn",,,,0,3.67,Imprint,Kindle Edition,380,2020.0,2020.0,,11/18/2021,to-read,to-read (#21),to-read,,0,"All the Stars and Teeth, #1"
44012880,Fable ,Adrienne Young,"Young, Adrienne",,,,0,4.04,Wednesday Books,Hardcover,357,2020.0,2020.0,,11/8/2021,to-read,to-read (#13),to-read,,0,"The World of the Narrows, #1"
34726469,Sky in the Deep ,Adrienne Young,"Young, Adrienne",,1250168457,9781250168450.0,0,3.95,Wednesday Books,Hardcover,340,2018.0,2018.0,,10/16/2022,to-read,to-read (#98),to-read,,0,"Sky and Sea, #1"
181133,And Then There Were None,Agatha Christie,"Christie, Agatha",,,,4,4.28,HarperCollins,Mass Market Paperback,250,2003.0,1939.0,3/23/2023,6/21/2022,"2023, owned","2023 (#8), owned (#69)",read,,1,
21074405,Five Little Pigs ,Agatha Christie,"Christie, Agatha",,,,3,4.03,Harper,Paperback,336,2013.0,1942.0,6/29/2022,6/22/2022,"2022, owned","2022 (#43), owned (#63)",read,,1,"Hercule Poirot, #25"
853510,Murder on the Orient Express ,Agatha Christie,"Christie, Agatha",,0007119313,9780007119318.0,0,4.2,HarperCollins,Paperback,274,2007.0,1934.0,,5/28/2022,to-read,to-read (#50),to-read,,0,"Hercule Poirot, #10"
91950,The Myth of Sisyphus,Albert Camus,"Camus, Albert",Justin Obrien,0141182008,9780141182001.0,0,4.18,Penguin Classics,Paperback,192,2013.0,1942.0,,4/28/2023,to-read,to-read (#211),to-read,,0,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,,,0,4.02,Vintage International,Paperback,159,1989.0,1942.0,,4/28/2023,to-read,to-read (#210),to-read,,0,
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,1250304458,9781250304452.0,0,3.62,Celadon Books,Hardcover,337,2021.0,2021.0,,10/11/2022,to-read,to-read (#93),to-read,,0,
45360527,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,1409181634,9781409181637.0,3,4.18,Orion Publishing Group,Paperback,342,2020.0,2019.0,4/21/2023,5/15/2022,"2023, owned","2023 (#12), owned (#71)",read,,1,
53375824,Lore,Alexandra Bracken,"Bracken, Alexandra",,1484778200,9781484778203.0,0,3.77,Disney Hyperion,Hardcover,480,2021.0,2021.0,,3/28/2022,to-read,to-read (#36),to-read,,0,
34499221,To Kill a Kingdom ,Alexandra Christo,"Christo, Alexandra",,1250112680,9781250112682.0,0,3.75,Feiwel & Friends,Hardcover,344,2018.0,2018.0,,11/8/2021,to-read,to-read (#11),to-read,,0,"Hundred Kingdoms, #1"
57299301,The North Wind ,Alexandria Warwick,"Warwick, Alexandria",,1733033467,9781733033466.0,0,3.72,Andromeda Press,Hardcover,551,2022.0,2022.0,,11/7/2022,to-read,to-read (#135),to-read,,0,"The Four Winds, #1"
61037051,The Last Daughter ,Alexis L. Menard,"Menard, Alexis L.",,9781958673,9781958673034.0,0,3.73,Midnight Tide Publishing,Paperback,412,2022.0,2022.0,,11/6/2022,to-read,to-read (#127),to-read,,0,"The Last Daughter, #1"
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,0593336828,9780593336823.0,3,4.17,Berkley Books,Paperback,383,2021.0,2021.0,12/3/2021,9/16/2021,2021,2021 (#29),read,"3.5 ⭐️<br/>Probably would have been higher had there actually been an I love you scene. Definitely higher. Otherwise it was a cute grump/sunshine and fake dating trope. Didn’t expect the scene with Tom Belton honestly. As cute as it is, I don’t think it’s a reread worthy. Honestly, I found it a bit overhyped.",1,
62337113,The Bookstore Sisters,Alice Hoffman,"Hoffman, Alice",,1662510500,,0,4.05,Amazon Original Stories,Kindle Edition,36,2022.0,2022.0,,11/15/2022,to-read,to-read (#157),to-read,,0,
